AngX (Acc)       AngY (Acc)      AngX (Gyr)      AngY (Gyr)      AngX (At)      AngY (At)
.7       5.6     -15.2   5.7     -0.6    6.9
0.7      5.6     -15.2   5.8     -0.6    6.9
0.7      5.8     -15.2   5.8     -0.6    6.9
0.7      5.8     -15.2   5.8     -0.6    6.9
0.7      5.8     -15.2   5.8     -0.6    6.9
0.7      5.8     -15.2   5.8     -0.6    6.9
0.7      5.8     -15.2   5.8     -0.6    6.9
0.7      5.8     -15.2   5.8     -0.6    6.9
0.7      5.6     -15.2   5.9     -0.6    6.9
0.7      5.6     -15.2   5.9     -0.6    6.9
0.7      5.6     -15.2   5.9     -0.6    6.9
0.7      5.6     -15.2   5.9     -0.6    6.9
0.7      5.8     -15.2   5.9     -0.6    6.9
0.7      5.8     -15.2   5.9     -0.6    6.9
0.7      5.8     -15.2   5.9     -0.6    6.9
0.7      5.6     -15.2   6.0     -0.6    6.9
0.7      5.8     -15.3   6.0     -0.6    6.9
0.7      5.8     -15.3   6.0     -0.6    6.9
0.9      5.6     -15.3   6.0     -0.6    6.9
0.9      5.6     -15.3   6.0     -0.6    6.9
0.7      5.8     -15.3   6.0     -0.6    6.9
0.9      5.8     -15.3   6.0     -0.6    6.9
0.7      5.8     -15.3   6.1     -0.6    6.9
0.7      5.6     -15.3   6.1     -0.6    6.9
0.7      5.8     -15.3   6.1     -0.6    6.9
0.7      5.8     -15.3   6.1     -0.6    6.9
0.7      5.8     -15.3   6.1     -0.6    6.9
0.7      5.6     -15.4   6.1     -0.6    6.9
0.7      5.6     -15.4   6.1     -0.6    6.9
0.7      5.6     -15.4   6.2     -0.6    6.9
0.7      5.8     -15.4   6.2     -0.6    6.9
0.7      5.8     -15.4   6.2     -0.6    6.9
0.7      5.8     -15.4   6.2     -0.6    6.9
0.9      5.8     -15.4   6.2     -0.6    6.9
0.7      5.8     -15.4   6.2     -0.6    6.9
0.7      5.8     -15.4   6.2     -0.6    6.9
0.9      5.8     -15.4   6.3     -0.6    6.9
0.9      5.8     -15.4   6.3     -0.6    6.9
0.7      5.8     -15.4   6.3     -0.6    6.9
0.9      5.8     -15.4   6.3     -0.6    6.9
0.7      5.8     -15.4   6.3     -0.6    6.9
0.7      5.8     -15.4   6.3     -0.6    6.9
0.7      5.8     -15.4   6.3     -0.6    6.9
0.7      5.8     -15.5   6.3     -0.6    6.9
0.9      5.8     -15.5   6.4     -0.6    6.9
0.7      5.8     -15.5   6.4     -0.6    6.9
0.7      5.8     -15.5   6.4     -0.6    6.9
0.7      5.8     -15.5   6.4     -0.6    6.9
0.7      5.8     -15.5   6.4     -0.6    6.9
0.7      5.8     -15.5   6.4     -0.6    6.9
0.9      5.8     -15.5   6.5     -0.6    6.9
0.9      5.6     -15.5   6.5     -0.6    6.9
0.7      5.8     -15.5   6.5     -0.6    6.9
0.7      5.8     -15.5   6.5     -0.6    6.9
0.7      5.6     -15.5   6.5     -0.6    6.9
3.1      8.0     -15.5   6.5     -0.6    6.9
0.2      5.4     -15.4   6.5     -0.6    6.9
1.3      6.5     -15.4   6.5     -0.9    6.7
-1.3     4.0     -15.4   6.5     -0.9    6.7
